PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Goga Bitadze,IND,20,49,29,20,8.4,101.6,104.1,-2.6,7.1,0.84,11.0,5.3,15.5,10.8,13.1,49.6,53.0,17.3,104.88,7.5,2019
Gorgui Dieng,MEM,30,58,18,40,17.5,99.0,102.9,-3.9,11.5,1.29,14.0,7.6,22.7,15.0,10.9,53.5,56.4,17.6,102.92,13.5,2019
Harry Giles III,SAC,21,38,19,19,15.2,106.6,114.3,-7.7,12.8,1.40,15.8,5.8,24.4,14.7,11.3,56.0,58.6,19.7,101.20,10.3,2019
Hassan Whiteside,POR,30,61,29,32,31.3,114.5,112.2,2.3,5.8,0.63,7.7,12.3,29.6,21.2,12.2,62.1,64.1,19.5,101.03,16.0,2019
Henry Ellenson,BKN,23,5,2,3,3.0,81.6,54.3,27.3,12.5,0.00,12.5,11.1,19.0,15.4,0.0,14.3,14.3,15.9,115.90,4.1,2019
Ian Mahinmi,WAS,33,38,15,23,21.3,109.5,114.0,-4.5,8.4,1.09,13.9,8.9,17.6,13.0,12.8,50.7,54.5,15.4,102.05,7.8,2019
Isaiah Hartenstein,HOU,21,23,16,7,11.6,113.3,104.6,8.7,9.5,1.13,16.1,10.7,20.0,15.6,14.3,65.7,67.4,14.4,105.37,11.8,2019
Ivica Zubac,LAC,23,64,44,20,18.1,112.0,104.1,7.9,8.8,1.30,13.2,13.4,23.3,18.4,10.2,60.1,64.2,16.2,101.34,13.9,2019
JaMychal Green,LAC,29,55,38,17,20.5,110.5,105.2,5.3,5.1,0.96,10.5,6.1,21.0,13.8,11.0,53.6,55.4,12.9,105.16,8.2,2019
JaVale McGee,LAL,32,61,48,13,16.8,113.6,104.7,8.9,4.4,0.72,8.7,11.0,21.6,16.6,12.0,64.5,65.5,14.6,101.95,11.6,2019
Jahlil Okafor,NOP,24,28,9,19,15.1,104.3,116.0,-11.8,13.0,1.00,15.0,9.7,16.4,13.0,15.0,61.5,63.1,19.3,103.71,10.5,2019
Jakob Poeltl,SAS,24,58,25,33,16.6,112.4,108.6,3.9,13.6,2.27,25.8,10.2,19.8,15.1,11.4,61.9,61.1,12.5,104.14,11.2,2019
Jalen McDaniels,CHA,22,16,7,9,18.3,105.3,108.8,-3.6,6.9,1.18,12.9,5.0,17.2,11.0,10.9,53.6,57.4,13.1,96.06,7.5,2019
Jaren Jackson Jr.,MEM,20,54,28,26,28.0,108.4,111.5,-3.1,7.6,0.81,8.0,3.4,12.4,7.9,9.9,56.4,59.0,23.7,104.34,8.8,2019
Jarrett Allen,BKN,21,64,30,34,25.7,109.4,108.9,0.5,7.5,1.18,12.6,10.9,22.8,16.8,10.7,64.6,65.8,14.8,101.55,13.8,2019
