PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Carmelo Anthony,POR,35,50,22,28,32.5,112.8,112.5,0.3,6.9,0.91,8.7,3.7,14.2,9.1,9.6,47.9,51.7,21.8,100.11,7.8,2019
Cedi Osman,CLE,25,65,19,46,29.4,106.3,115.2,-9.0,11.5,1.69,17.2,2.0,10.3,6.0,10.2,53.8,55.2,16.2,100.30,6.5,2019
Chandler Hutchison,CHI,23,28,8,20,18.8,97.0,108.9,-11.9,7.7,0.96,9.9,3.2,18.0,10.1,10.3,49.1,52.1,18.3,105.15,8.6,2019
Chandler Parsons,ATL,31,5,0,5,10.8,85.7,114.7,-29.0,10.0,1.00,12.5,1.5,12.0,6.0,12.5,38.9,38.9,15.0,112.87,3.8,2019
Cheick Diallo,PHX,23,44,17,27,10.6,104.5,109.0,-4.6,7.7,0.73,10.7,6.0,21.2,13.6,14.6,65.3,68.8,16.6,101.88,12.1,2019
Chimezie Metu,SAS,23,16,7,9,4.5,102.5,100.0,2.5,14.0,1.20,12.0,12.5,21.6,16.9,10.0,57.1,59.7,23.8,101.92,18.6,2019
Chris Boucher,TOR,27,55,39,16,13.2,108.3,102.9,5.4,4.9,1.00,6.6,12.0,18.2,15.1,6.6,51.2,57.0,18.3,102.17,12.3,2019
Chris Silva,MIA,23,41,27,14,7.5,105.7,109.1,-3.4,10.4,0.68,14.5,17.1,17.4,17.2,21.4,62.3,66.3,15.9,102.43,8.0,2019
Christian Wood,DET,24,62,20,42,21.4,110.8,108.8,2.0,7.4,0.71,8.0,7.9,21.4,14.7,11.1,62.0,65.9,22.3,99.54,15.3,2019
Cody Martin,CHA,24,48,16,32,18.8,104.5,107.7,-3.2,15.4,2.16,25.4,3.9,14.0,8.6,11.8,47.3,50.5,13.1,98.77,7.6,2019
Cody Zeller,CHA,27,58,18,40,23.1,105.3,113.6,-8.3,11.1,1.17,12.3,11.0,19.7,15.1,10.5,54.3,57.6,20.1,97.50,11.4,2019
Cristiano Felicio,CHI,27,22,6,16,17.5,111.1,118.8,-7.7,5.3,0.89,16.3,14.4,13.9,14.2,18.4,63.0,67.1,8.8,99.68,6.7,2019
D.J. Wilson,MIL,24,31,27,4,9.0,96.6,103.1,-6.5,12.0,1.47,15.5,3.5,16.9,10.8,10.6,46.5,47.6,17.2,106.14,7.6,2019
DaQuan Jeffries,SAC,22,6,1,5,3.2,89.4,83.7,5.7,6.7,0.00,12.5,3.6,0.0,2.3,0.0,50.0,50.0,13.7,118.91,3.4,2019
Damion Lee,GSW,27,49,12,37,29.0,105.6,109.7,-4.1,13.9,1.99,17.5,2.1,14.4,8.1,8.8,50.0,54.8,18.4,103.05,8.9,2019
Daniel Gafford,CHI,21,43,15,28,14.2,102.6,104.5,-1.9,5.1,0.72,10.0,8.1,9.2,8.7,13.7,70.1,68.6,13.1,102.14,7.6,2019
Daniel Theis,BOS,28,58,37,21,23.8,111.8,104.1,7.7,10.0,1.98,16.7,9.0,17.2,13.1,8.4,59.9,62.9,14.6,100.09,10.7,2019
Danilo Gallinari,OKC,31,55,33,22,30.7,116.8,111.8,5.1,10.1,1.61,10.8,2.0,16.0,9.2,6.7,54.9,61.1,24.0,99.13,13.0,2019
Danuel House Jr.,HOU,26,58,36,22,30.0,112.0,109.2,2.9,6.1,1.59,12.1,2.9,10.2,6.5,7.6,54.5,57.1,13.3,104.59,7.0,2019
Dario Saric,PHX,26,58,24,34,24.9,110.2,112.1,-1.9,10.5,1.51,15.8,6.0,17.8,11.8,10.4,53.9,57.2,16.8,102.62,9.3,2019
Darius Bazley,OKC,19,53,32,21,17.2,98.3,101.6,-3.3,4.6,0.73,9.0,2.2,17.3,10.0,12.4,44.8,47.5,13.7,101.69,7.7,2019
David Nwaba,BKN,27,20,8,12,13.4,102.1,94.9,7.2,4.6,1.00,8.0,2.7,10.9,7.1,8.0,60.6,62.7,13.9,104.69,9.8,2019
Davis Bertans,WAS,27,54,20,34,29.3,113.6,113.9,-0.3,8.1,1.56,11.4,2.1,13.0,7.4,7.3,59.8,62.8,18.3,105.96,9.4,2019
De'Andre Hunter,ATL,22,63,19,44,32.0,108.0,113.6,-5.5,7.9,1.09,11.7,2.1,11.6,6.8,10.7,48.9,52.1,17.3,103.96,5.8,2019
DeAndre' Bembry,ATL,25,43,10,33,21.3,98.9,110.6,-11.8,13.0,1.35,20.7,3.4,12.3,7.7,15.3,48.9,50.0,13.7,105.69,6.9,2019
DeMar DeRozan,SAS,30,61,26,35,34.3,111.3,113.9,-2.7,26.1,2.31,21.1,1.9,14.2,8.1,9.1,53.0,59.7,26.4,100.38,13.9,2019
DeMarre Carroll,HOU,33,21,10,11,11.0,112.8,105.0,7.7,9.9,1.13,17.1,5.1,14.3,10.0,15.2,45.4,52.3,15.8,103.02,5.4,2019
Dean Wade,CLE,23,12,1,11,6.0,107.0,113.5,-6.5,3.9,0.67,11.1,3.8,21.3,12.3,16.7,76.9,74.4,9.1,105.19,8.9,2019
Deonte Burton,OKC,26,34,20,14,8.4,93.2,105.2,-12.0,6.3,0.79,8.2,2.0,12.4,7.4,10.4,41.9,42.6,18.4,104.40,4.3,2019
Derrick Favors,NOP,28,45,22,23,24.2,113.2,107.4,5.8,9.1,1.47,16.5,12.4,24.8,18.7,11.2,62.1,62.4,13.9,104.51,13.0,2019
Derrick Jones Jr.,MIA,23,51,31,20,24.5,109.2,110.1,-0.9,6.9,2.11,12.6,4.6,11.8,8.3,5.9,56.7,60.9,13.7,99.85,8.7,2019
Dewan Hernandez,TOR,23,4,4,0,2.8,107.7,108.0,-0.3,0.0,0.00,0.0,20.0,33.3,28.0,14.3,20.0,34.0,23.3,107.84,0.0,2019
Dillon Brooks,MEM,24,65,32,33,28.5,108.6,108.9,-0.3,10.0,1.19,10.4,3.1,7.5,5.4,8.8,47.4,50.8,24.5,103.35,6.0,2019
Domantas Sabonis,IND,23,62,37,25,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6,2019
Donta Hall,DET,22,4,1,3,12.0,95.7,125.8,-30.1,7.1,1.00,18.2,10.5,25.7,16.3,18.2,25.0,45.2,7.8,93.71,3.4,2019
Dorian Finney-Smith,DAL,26,64,38,26,29.7,116.2,109.1,7.1,6.9,1.54,14.7,6.4,11.0,8.8,9.5,57.7,59.7,12.6,99.97,7.1,2019
Doug McDermott,IND,28,62,37,25,20.0,109.4,105.4,4.0,8.0,1.75,11.4,1.8,9.8,5.9,6.5,61.1,62.6,18.6,101.88,9.2,2019
