Position,index,PIE,YEAR,AGE,PLAYER,FP,MIN,PTS,FGM,FGA,DREB,TOV,REB,FTA,FTM,AST,OREB,GP,3PA,OFFRTG,TS%,AST%,REB%,FG%,AST/TO,NETRTG,Salary,PlayerGrade
Forward,4585,13.5,2012,27,LaMarcus Aldridge,40.1,37.7,21.1,8.6,17.8,6.7,1.9,9.1,4.7,3.8,2.6,2.4,74,0.2,106.1,53,12.5,12.4,48.4,1.34,-0.7,13000000,topPayer
Forward,5719,11.6,2007,22,LaMarcus Aldridge,33.5,34.9,17.8,7.4,15.3,4.7,1.7,7.6,3.9,3,1.6,2.9,76,0.1,106.5,52.3,8.6,11.4,48.4,0.97,0.1,4329360,good
Forward,2804,12.5,2019,27,Larry Nance Jr.,25.2,26.3,10.1,4.1,7.7,5.4,1.1,7.3,1.3,0.9,2.2,1.9,56,2.8,105.6,60.8,12.6,13.6,53.1,2.05,-5.1,8778483.44,topPayer
Forward,2805,10.3,2019,22,Lauri Markkanen,26.8,29.8,14.7,5,11.8,5.1,1.6,6.3,3.1,2.5,1.5,1.2,50,6.3,105.3,56,7.7,10.4,42.5,0.91,-2,5300400,good
Forward,2811,7.3,2019,24,Luke Kornet,12.8,15.5,6,2.3,5.2,1.7,0.4,2.3,0.8,0.6,0.9,0.6,36,3,103.4,53.9,8.2,7.5,43.9,2.29,-3.6,2250000,aboveAvergae
Forward,3087,9.3,2018,23,Luke Kornet,16.2,17,7,2.3,6.2,2.3,0.5,2.9,1,0.8,1.2,0.6,46,4.2,102.5,53.1,10.8,7.9,37.8,2.16,-3.5,1619260,aboveAvergae
Forward,3351,8.3,2017,22,Luke Kornet,15.2,16.3,6.7,2.5,6.3,2.7,0.6,3.2,0.6,0.4,1.3,0.6,20,4,102.2,51.6,11.4,9.4,39.2,2.17,-9.3,77250,belowAverage
Forward,2820,12.2,2019,30,Mason Plumlee,19.2,17,7.2,2.9,4.7,3.6,1.4,5.3,2.6,1.4,2.4,1.7,53,0.1,107.2,61.5,19.8,14.5,61.7,1.74,0.8,14041096,topPayer
Forward,3098,11.5,2018,29,Mason Plumlee,23.5,21.1,7.8,3.2,5.4,4.4,1.5,6.4,2.4,1.4,3,2,82,0.1,109.3,60.2,19.9,14.4,59.3,1.93,3.2,12917808,topPayer
Forward,3363,9.8,2017,28,Mason Plumlee,20.3,19.5,7.1,3,5,3.6,1.4,5.4,2.4,1.1,1.9,1.8,74,0,107.5,58.6,14.5,13.8,60.1,1.39,-0.7,14041096,topPayer
Forward,3873,10.6,2015,26,Mason Plumlee,26.2,25.4,9.1,3.3,6.3,5.2,1.9,7.7,4.1,2.6,2.8,2.5,82,0,109,56.4,16.1,14.9,51.6,1.47,1.6,1415520,aboveAvergae
Forward,4123,10.4,2014,25,Mason Plumlee,21,21.3,8.7,3.4,6,4.1,1.3,6.2,3.9,1.9,0.9,2.1,82,0,102,57,6.9,15.1,57.3,0.7,-4.6,1357080,aboveAvergae
Forward,4364,11.4,2013,24,Mason Plumlee,17.4,18.2,7.4,2.8,4.3,3,1.1,4.4,2.8,1.7,0.9,1.4,70,0,104.8,67,8.2,13,65.9,0.78,-3.3,1298640,aboveAvergae
Forward,2826,8.7,2019,28,Meyers Leonard,14.8,20.1,6.1,2.4,4.6,4.5,0.7,5.1,0.5,0.3,1.1,0.6,49,2.4,111.1,64,7.6,12.7,52,1.51,5.6,11286515,topPayer
Forward,3102,10.8,2018,27,Meyers Leonard,12.7,14.4,5.9,2.2,4,3,0.7,3.8,0.8,0.7,1.2,0.8,61,1.8,108.5,67.5,12.3,13,54.5,1.74,-3.7,10595506,topPayer
Forward,3615,6.1,2016,25,Meyers Leonard,11.9,16.5,5.4,2,5.1,2.8,0.5,3.2,0.5,0.5,1,0.4,74,2.9,105.2,50.7,8.5,9.6,38.6,2.03,-1.9,9213484,topPayer
Forward,3878,8.2,2015,24,Meyers Leonard,16.8,21.8,8.4,3.2,7.1,4.3,1.3,5.1,0.8,0.6,1.5,0.8,61,3.7,108.5,56.1,10.3,11.5,44.8,1.19,3.2,3075879,good
Forward,2827,11.2,2019,22,Mfiondu Kabengele,5.7,5.4,3.5,1.2,2.7,0.8,0.2,0.9,0.4,0.4,0.2,0.1,12,1.7,104.4,61.4,5,8.9,43.8,1,0.8,1977000,aboveAvergae
Forward,2831,8.2,2019,28,Mike Muscala,9.7,12,4.6,1.6,3.9,2,0.3,2.3,0.5,0.4,0.8,0.3,41,2.9,102.3,56,10.4,9.3,40.3,2.43,-2.6,2028594,aboveAvergae
Forward,3106,7,2018,27,Mike Muscala,15.4,20.4,7,2.3,5.6,2.9,0.8,3.8,1.3,1.1,1.2,0.9,64,4,107.6,56.4,8.1,8.8,40.2,1.58,1,5000000,good
Forward,3369,9.6,2017,26,Mike Muscala,16.8,20,7.6,2.7,5.9,3.3,0.8,4.3,1.2,1.1,1,1.1,53,3.2,103.5,59.7,7.4,10,45.8,1.21,-4.4,5000000,good
Forward,3621,9.7,2016,25,Mike Muscala,14.6,17.7,6.2,2.4,4.8,2.3,0.8,3.4,0.9,0.7,1.4,1.1,70,1.6,102.5,59.6,12.1,9.4,50.4,1.73,-2.9,1015696,belowAverage
Forward,3883,8.4,2015,24,Mike Muscala,8,9.4,3.3,1.3,2.5,1.3,0.5,2,0.7,0.5,0.6,0.6,60,0.7,97.5,57.6,9.9,10.4,50,1.26,-3,947276,belowAverage
Forward,4131,11,2014,23,Mike Muscala,11.5,12.6,4.9,2.1,3.8,1.7,0.5,3,0.6,0.6,0.6,1.3,40,0.6,103.6,60.8,8,11.8,55,1.19,4.8,816482,belowAverage
Forward,2834,12.9,2019,22,Mitchell Robinson,26.8,23.2,9.7,4.1,5.6,4,0.6,7,2.4,1.4,0.6,3,61,0,106.1,72.6,3.9,14.1,74.2,0.97,-2.9,1559712,aboveAvergae
Forward,2836,14.5,2019,26,Montrezl Harrell,33.2,27.8,18.6,7.5,12.9,4.5,1.7,7.1,5.6,3.7,1.7,2.6,63,0.3,112.3,60.7,10.2,11.6,58,0.99,6.5,6000000,topPayer
Forward,3110,14,2018,25,Montrezl Harrell,32.4,26.3,16.6,6.7,10.8,4.3,1.6,6.5,5,3.2,2,2.2,82,0.2,111.9,63.6,12.3,11.7,61.5,1.23,1.9,6000000,topPayer
Forward,3374,14.4,2017,24,Montrezl Harrell,19.9,17,11,4.6,7.2,2.7,0.9,4,2.9,1.8,1,1.4,76,0.1,109.1,64.7,9.3,11.5,63.5,1.09,2.1,1471382,aboveAvergae
Forward,2837,10,2019,22,Moritz Wagner,19.4,19.1,9.5,3.5,6.2,3.8,1.5,5.2,2.2,1.8,1.3,1.4,37,1.8,109.6,66.6,10.3,13.3,57.5,0.89,-1.5,2063520,aboveAvergae
Forward,2838,9.6,2019,24,Myles Turner,29,29.6,11.8,4.2,9.4,5.3,1.2,6.5,2.6,2,1.1,1.3,55,4.2,107.1,56.1,5.4,10.8,45.1,0.9,0.9,18000000,topPayer
Forward,3111,11.9,2018,23,Myles Turner,33.4,28.6,13.3,5.1,10.5,5.8,1.4,7.2,2.7,2,1.6,1.4,74,2.6,107.3,56.7,8.3,12.3,48.7,1.15,2.8,3294994,good
Forward,3888,10.5,2015,20,Myles Turner,22.4,22.8,10.3,4.4,8.8,4.4,1.1,5.5,2,1.5,0.7,1.1,60,0.2,99.2,53.1,5,11.7,49.8,0.61,-2.5,2277960,aboveAvergae
