PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Chris Clemons,HOU,22,29,18,11,8.7,101.1,107.9,-6.8,15.0,1.29,13.1,1.1,7.1,4.1,10.1,53.6,54.6,23.9,105.82,8.1,2019
Chris Paul,OKC,34,63,40,23,31.8,114.4,107.6,6.8,31.8,3.11,28.8,1.1,14.1,7.8,9.3,55.2,60.9,22.6,100.44,15.1,2019
Coby White,CHI,20,65,22,43,25.8,104.4,108.8,-4.4,16.2,1.61,15.5,1.5,12.8,6.7,9.7,47.8,50.6,23.5,102.51,8.7,2019
Collin Sexton,CLE,21,65,19,46,33.0,107.8,117.0,-9.2,14.6,1.22,12.4,2.8,6.9,4.8,10.2,51.7,56.0,26.4,100.37,9.5,2019
Cory Joseph,SAC,28,64,28,36,24.0,107.2,107.6,-0.4,19.9,3.41,32.3,2.4,8.3,5.3,9.5,48.4,51.3,12.8,99.35,7.0,2019
Courtney Lee,DAL,34,24,15,9,14.4,116.8,110.1,6.7,4.4,1.09,11.2,1.9,7.0,4.4,10.3,61.6,62.9,11.6,101.35,5.2,2019
D'Angelo Russell,MIN,24,45,11,34,32.3,106.2,114.3,-8.1,32.7,1.94,20.8,1.1,10.7,5.7,10.7,51.9,55.6,30.5,104.75,12.5,2019
D.J. Augustin,ORL,32,49,25,24,24.8,106.1,104.1,2.0,28.0,3.23,29.8,1.4,7.1,4.2,9.2,46.9,54.8,18.4,99.17,10.5,2019
DaQuan Jeffries,SAC,22,6,1,5,3.2,89.4,83.7,5.7,6.7,0.00,12.5,3.6,0.0,2.3,0.0,50.0,50.0,13.7,118.91,3.4,2019
Damian Lillard,POR,29,58,27,31,36.9,114.4,113.1,1.3,33.2,2.70,23.1,1.3,9.1,5.4,8.6,55.4,61.9,29.3,102.07,16.5,2019
Damion Lee,GSW,27,49,12,37,29.0,105.6,109.7,-4.1,13.9,1.99,17.5,2.1,14.4,8.1,8.8,50.0,54.8,18.4,103.05,8.9,2019
Damyean Dotson,NYK,25,48,14,34,17.4,102.5,107.8,-5.3,10.5,2.71,15.0,1.1,9.1,5.0,5.5,51.6,52.7,15.8,101.48,7.9,2019
Danny Green,LAL,32,61,48,13,25.1,113.6,105.0,8.7,7.0,1.59,14.8,2.9,10.0,6.5,9.3,55.2,56.4,13.3,102.91,6.6,2019
Dante Exum,CLE,24,35,10,25,13.9,98.2,107.1,-8.8,12.4,1.29,19.0,2.4,10.9,6.6,14.8,53.4,57.6,14.5,101.12,7.5,2019
Danuel House Jr.,HOU,26,58,36,22,30.0,112.0,109.2,2.9,6.1,1.59,12.1,2.9,10.2,6.5,7.6,54.5,57.1,13.3,104.59,7.0,2019
