PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,YEAR
Alexis Ajinca,NOP,26,56,22,34,17.0,5.9,2.4,4.4,54.6,0.0,0.0,0.0,1.0,1.2,83.6,1.7,3.3,4.9,0.7,1.1,0.4,0.8,3.3,15.4,3,0,-1.8,2013
Omer Asik,HOU,27,48,32,16,20.2,5.8,2.1,4.0,53.2,0.0,0.0,0.0,1.6,2.6,61.9,2.1,5.8,7.9,0.5,1.2,0.3,0.8,1.9,18.0,6,0,1.2,2013
Tyler Zeller,CLE,24,70,27,43,15.0,5.7,2.2,4.1,53.8,0.0,0.0,0.0,1.2,1.7,71.9,1.5,2.6,4.0,0.5,0.9,0.3,0.5,2.0,12.8,3,0,-0.1,2013
Donatas Motiejunas,HOU,23,62,42,20,15.4,5.5,2.1,4.8,44.3,0.3,1.4,25.0,0.9,1.5,60.4,1.0,2.7,3.6,0.5,0.8,0.3,0.3,2.1,11.9,3,0,0.8,2013
Robert Sacre,LAL,25,65,20,45,16.8,5.4,2.2,4.6,47.7,0.0,0.0,0.0,1.0,1.4,68.1,1.3,2.6,3.9,0.8,0.7,0.4,0.7,2.1,13.9,0,0,-2.4,2013
Tyler Hansbrough,TOR,28,64,38,26,15.3,4.9,1.5,3.1,47.4,0.0,0.0,0.0,2.0,2.9,68.1,1.9,2.6,4.5,0.3,0.7,0.4,0.3,2.1,12.1,1,0,-0.1,2013
Ronny Turiaf,MIN,31,31,16,15,19.5,4.8,2.1,3.5,59.8,0.0,0.0,0.0,0.7,1.6,42.0,1.8,3.8,5.6,0.8,0.8,0.3,1.6,2.1,17.5,0,0,-0.7,2013
Gorgui Dieng,MIN,24,60,32,28,13.6,4.8,1.9,3.8,49.8,0.0,0.0,100,1.0,1.6,63.4,1.7,3.3,5.0,0.7,0.9,0.5,0.8,1.8,14.8,9,0,-0.7,2013
Kevin Seraphin,WAS,24,53,25,28,10.9,4.7,2.1,4.2,50.5,0.0,0.0,0.0,0.5,0.6,87.1,1.0,1.4,2.4,0.3,0.8,0.1,0.5,1.9,8.9,0,0,-0.6,2013
Lavoy Allen,IND,25,65,18,47,16.5,4.7,2.1,4.6,44.7,0.0,0.2,15.4,0.5,0.8,66.0,1.8,3.0,4.8,1.1,0.7,0.4,0.5,1.9,14.0,3,0,-3.2,2013
Vitor Faverani,BOS,26,37,13,24,13.2,4.4,1.7,4.0,43.5,0.3,1.1,30.0,0.6,1.0,64.9,1.1,2.3,3.5,0.4,1.1,0.4,0.7,2.0,11.4,1,0,-2.6,2013
Gustavo Ayon,ATL,29,26,12,14,16.5,4.3,2.0,3.9,51.0,0.0,0.0,0.0,0.3,0.8,40.0,1.6,3.2,4.8,1.1,1.1,1.0,0.4,1.8,14.6,1,0,-1.0,2013
Byron Mullens,PHI,25,45,16,29,9.2,4.2,1.6,3.7,44.2,0.7,2.0,37.1,0.2,0.4,50.0,0.5,1.5,2.0,0.3,0.6,0.3,0.2,1.4,8.3,0,0,-3.1,2013
Nick Collison,OKC,33,81,58,23,16.7,4.2,1.7,3.0,55.6,0.0,0.2,23.5,0.8,1.1,71.0,1.4,2.2,3.6,1.3,0.9,0.4,0.3,2.3,11.7,0,0,4.1,2013
Jarvis Varnado,PHI,26,24,5,19,14.1,4.1,1.5,2.5,60.0,0.0,0.0,0.0,1.1,2.2,51.9,0.8,1.8,2.6,0.5,0.4,0.4,1.2,2.6,12.5,0,0,-3.9,2013
Mike Muscala,ATL,22,20,10,10,10.7,3.8,1.6,3.7,42.5,0.0,0.2,0.0,0.7,0.7,100,0.9,1.8,2.6,0.4,0.6,0.2,0.5,1.5,8.8,0,0,-4.6,2013
Miroslav Raduljica,MIL,26,48,7,41,9.7,3.8,1.4,2.6,54.0,0.0,0.0,0.0,0.9,1.1,81.8,1.1,1.1,2.3,0.5,0.6,0.1,0.3,1.8,7.9,0,0,-1.0,2013
Ian Mahinmi,IND,27,77,51,26,16.2,3.5,1.2,2.5,48.1,0.0,0.0,0.0,1.2,1.9,62.1,1.4,1.9,3.3,0.3,0.8,0.5,0.9,2.7,11.7,0,0,0.1,2013
Greg Smith,HOU,23,11,7,4,9.1,3.5,1.6,2.5,64.3,0.0,0.0,0.0,0.2,0.5,40.0,1.0,1.5,2.5,0.0,0.5,0.1,0.2,1.5,6.8,0,0,-1.5,2013
Ekpe Udoh,MIL,27,42,7,35,19.1,3.4,1.4,3.4,39.9,0.0,0.0,0.0,0.7,1.1,63.8,1.5,2.1,3.5,0.7,0.9,0.4,1.0,2.3,12.1,1,0,-4.0,2013
Kendrick Perkins,OKC,29,62,48,14,19.5,3.4,1.4,3.1,45.1,0.0,0.0,0.0,0.6,1.1,55.2,1.3,3.6,4.9,1.1,1.5,0.4,0.5,2.9,12.3,0,0,0.7,2013
Joel Freeland,POR,27,52,37,15,14.0,3.3,1.5,3.1,47.5,0.0,0.0,0.0,0.4,0.6,69.0,1.7,2.3,4.0,0.7,0.6,0.2,0.4,1.8,10.4,0,0,0.5,2013
Jeff Ayres,SAS,27,73,55,18,13.0,3.3,1.4,2.4,58.0,0.0,0.0,0.0,0.5,0.8,69.1,1.2,2.3,3.5,0.8,0.9,0.2,0.3,2.0,9.5,0,0,1.6,2013
Jeff Withey,NOP,24,58,21,37,11.8,3.3,1.2,2.2,53.5,0.0,0.0,0.0,0.9,1.3,71.2,0.8,1.7,2.6,0.4,0.3,0.3,0.9,1.3,10.1,0,0,0.5,2013
Steven Adams,OKC,20,81,59,22,14.8,3.3,1.1,2.3,50.3,0.0,0.0,0.0,1.0,1.7,58.1,1.8,2.3,4.1,0.5,0.9,0.5,0.7,2.5,11.7,1,0,0.7,2013
Justin Hamilton,MIA,24,8,4,4,9.0,3.3,1.1,2.5,45.0,0.4,1.1,33.3,0.6,0.6,100,0.5,0.4,0.9,0.0,0.5,0.6,0.0,1.0,5.7,0,0,-2.9,2013
Matt Bonner,SAS,34,61,43,18,11.3,3.2,1.2,2.7,44.5,0.7,1.6,42.9,0.1,0.2,75.0,0.3,1.9,2.1,0.5,0.3,0.2,0.2,0.8,7.6,1,0,1.8,2013
Dewayne Dedmon,ORL,24,31,7,24,12.6,3.1,1.2,2.7,45.8,0.0,0.0,0.0,0.7,1.0,65.6,1.2,2.9,4.1,0.2,0.6,0.2,0.7,2.1,10.5,0,0,-1.9,2013
Aron Baynes,SAS,27,53,41,12,9.3,3.0,1.3,3.1,43.6,0.0,0.0,0.0,0.4,0.4,90.5,1.1,1.7,2.7,0.6,0.7,0.0,0.1,1.5,7.0,0,0,0.5,2013
Melvin Ely,NOP,36,2,2,0,13.6,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,2.5,5.1,0,0,-7.5,2013
Daniel Orton,PHI,23,22,7,15,11.4,3.0,1.0,2.1,44.7,0.0,0.0,0.0,1.0,1.4,76.7,0.7,2.0,2.8,0.7,0.8,0.3,0.7,1.7,9.5,1,0,-1.6,2013
Greg Oden,MIA,26,23,16,7,9.2,2.9,1.2,2.1,55.1,0.0,0.0,0.0,0.6,1.0,56.5,1.0,1.3,2.3,0.0,0.5,0.3,0.6,2.3,7.9,0,0,-1.4,2013
Josh Harrellson,DET,25,32,12,20,9.9,2.9,1.2,2.6,46.3,0.4,1.0,38.7,0.2,0.2,71.4,0.9,1.4,2.4,0.5,0.3,0.2,0.5,1.4,8.1,0,0,0.3,2013
Greg Stiemsma,NOP,28,55,21,34,18.3,2.9,1.3,2.2,57.4,0.0,0.0,0.0,0.3,0.6,59.4,1.3,2.8,4.1,0.7,0.8,0.6,1.0,3.1,13.0,0,0,-3.1,2013
Bismack Biyombo,CHA,21,77,42,35,13.9,2.9,1.1,1.9,61.1,0.0,0.0,0.0,0.6,1.2,51.7,1.4,3.4,4.8,0.1,0.5,0.1,1.1,1.6,11.8,1,0,-0.5,2013
Meyers Leonard,POR,22,40,20,20,8.9,2.5,1.0,2.3,45.1,0.0,0.2,0.0,0.4,0.5,76.2,0.7,2.1,2.8,0.5,0.4,0.2,0.1,1.9,7.0,0,0,-2.2,2013
Ryan Hollins,LAC,29,61,43,18,7.9,2.3,0.9,1.2,73.6,0.0,0.0,0.0,0.6,0.9,62.5,0.5,1.0,1.5,0.1,0.5,0.1,0.5,1.4,5.8,0,0,0.1,2013
Rudy Gobert,UTA,22,45,7,38,9.6,2.3,0.8,1.6,48.6,0.0,0.0,0.0,0.7,1.4,49.2,1.1,2.3,3.4,0.2,0.7,0.2,0.9,1.3,9.2,0,0,-0.6,2013
Alex Len,PHX,21,42,24,18,8.6,2.0,0.8,1.9,42.3,0.0,0.0,0.0,0.5,0.7,64.5,0.9,1.4,2.4,0.1,0.6,0.1,0.4,1.6,6.0,0,0,-1.3,2013
Cole Aldrich,NYK,25,46,26,20,7.2,2.0,0.7,1.3,54.1,0.0,0.0,0.0,0.6,0.7,86.7,0.8,2.0,2.8,0.3,0.4,0.2,0.7,0.9,7.9,3,0,-0.3,2013
Aaron Gray,SAC,29,37,12,25,9.6,1.8,0.7,1.6,44.3,0.0,0.0,0.0,0.3,0.5,55.0,1.1,1.9,3.0,0.6,0.8,0.3,0.2,1.7,6.9,0,0,-2.3,2013
Hilton Armstrong,GSW,29,15,12,3,6.4,1.7,0.6,1.3,47.4,0.0,0.0,0.0,0.5,1.1,43.8,1.3,1.9,3.1,0.3,0.4,0.3,0.3,0.7,7.1,1,0,1.1,2013
Nazr Mohammed,CHI,36,80,47,33,7.0,1.6,0.7,1.6,42.9,0.0,0.0,0.0,0.2,0.4,53.3,0.8,1.4,2.2,0.3,0.5,0.2,0.4,1.0,5.7,0,0,-0.2,2013
Hasheem Thabeet,OKC,27,23,18,5,8.4,1.2,0.6,1.0,56.5,0.0,0.0,0.0,0.0,0.2,20.0,0.4,1.3,1.7,0.0,0.6,0.2,0.4,2.0,4.4,0,0,-0.1,2013
Jason Collins,BKN,35,22,16,6,7.8,1.1,0.5,1.1,45.8,0.0,0.1,0.0,0.1,0.2,75.0,0.3,0.5,0.9,0.2,0.3,0.4,0.0,1.4,3.4,0,0,-1.4,2013
Viacheslav Kravtsov,PHX,26,20,13,7,3.0,1.0,0.4,0.8,53.3,0.0,0.0,0.0,0.2,0.4,50.0,0.5,0.4,0.9,0.1,0.3,0.0,0.1,0.4,1.9,0,0,-2.3,2013
Bernard James,DAL,29,30,17,13,4.9,0.9,0.4,0.8,47.8,0.0,0.0,0.0,0.2,0.4,54.5,0.5,0.9,1.4,0.1,0.3,0.1,0.3,0.8,3.5,0,0,-0.1,2013
Joel Anthony,BOS,31,33,16,17,5.6,0.8,0.4,1.0,37.5,0.0,0.0,0.0,0.1,0.2,50.0,0.5,0.7,1.2,0.1,0.1,0.1,0.4,0.5,3.6,0,0,-1.0,2013
Ognjen Kuzmic,GSW,24,21,16,5,4.4,0.7,0.2,0.6,38.5,0.0,0.0,0.0,0.2,0.5,45.5,0.5,0.5,1.0,0.1,0.5,0.1,0.2,0.8,2.6,0,0,-2.9,2013
Arinze Onuaku,CLE,26,5,2,3,6.0,0.6,0.2,1.0,20.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4,1.2,1.6,0.6,0.2,0.0,0.0,0.6,3.2,0,0,-1.2,2013
Andris Biedrins,UTA,28,6,0,6,7.4,0.5,0.2,0.2,100,0.0,0.0,0.0,0.2,1.0,16.7,0.3,2.5,2.8,0.0,0.3,0.0,0.0,1.0,3.6,0,0,0.3,2013
Hamady Ndiaye,SAC,27,14,5,9,5.3,0.4,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.9,1.3,0.2,0.2,0.0,0.3,1.1,2.9,0,0,-1.9,2013
Dexter Pittman,ATL,26,2,0,2,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.8,0,0,-1.0,2013
LaMarcus Aldridge,POR,27,74,32,42,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,2.4,6.7,9.1,2.6,1.9,0.8,1.2,2.5,40.1,38,0,-0.3,2012
Brook Lopez,BKN,25,74,46,28,30.5,19.4,7.7,14.8,52.1,0.0,0.0,0.0,4.0,5.3,75.8,2.8,4.1,6.9,0.9,1.8,0.4,2.1,2.1,35.0,12,0,3.9,2012
David Lee,GSW,30,79,46,33,36.8,18.5,7.6,14.7,51.9,0.0,0.1,0.0,3.2,4.1,79.7,2.8,8.5,11.2,3.5,2.6,0.8,0.3,3.1,38.0,56,1,2.2,2012
Kevin Love,MIN,24,18,9,9,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,3.6,10.4,14.0,2.3,2.2,0.7,0.5,1.9,40.1,14,0,0.1,2012
Al Jefferson,UTA,28,78,41,37,33.1,17.8,7.8,15.8,49.4,0.0,0.2,11.8,2.1,2.8,77.0,2.0,7.2,9.2,2.1,1.3,1.0,1.1,2.2,37.2,37,0,-2.0,2012
Al Horford,ATL,27,74,42,32,37.2,17.4,7.8,14.3,54.3,0.0,0.1,50.0,1.8,2.8,64.4,2.6,7.6,10.2,3.2,2.0,1.1,1.1,2.2,38.9,43,0,2.2,2012
DeMarcus Cousins,SAC,22,75,26,49,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,3.0,7.0,9.9,2.7,3.0,1.4,0.7,3.6,36.5,35,1,-4.0,2012
Dwight Howard,LAL,27,76,42,34,35.8,17.1,6.2,10.7,57.8,0.0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.4,1.4,3.0,1.1,2.4,3.8,41.8,48,0,1.8,2012
Chris Bosh,MIA,29,74,58,16,33.2,16.6,6.6,12.3,53.5,0.3,1.0,28.4,3.3,4.1,79.8,1.8,5.0,6.8,1.7,1.7,0.9,1.4,2.3,32.3,15,0,6.4,2012
Nikola Pekovic,MIN,27,62,26,36,31.6,16.3,6.2,12.0,52.0,0.0,0.0,0.0,3.9,5.2,74.4,3.7,5.1,8.8,0.9,1.6,0.7,0.8,2.3,31.0,26,0,-0.3,2012
Greg Monroe,DET,23,81,29,52,33.2,16.0,6.3,13.1,48.6,0.0,0.0,0.0,3.3,4.8,68.9,2.9,6.7,9.6,3.5,2.9,1.3,0.7,2.3,35.8,37,1,-2.8,2012
Glen Davis,ORL,27,34,13,21,31.3,15.1,6.3,14.1,44.8,0.0,0.1,0.0,2.5,3.4,71.8,1.6,5.6,7.2,2.1,1.9,0.9,0.6,2.6,29.6,10,0,-0.8,2012
Kevin Garnett,BOS,37,68,36,32,29.7,14.8,6.2,12.5,49.6,0.0,0.2,12.5,2.3,3.0,78.6,1.1,6.7,7.8,2.3,1.6,1.1,0.9,2.3,32.2,19,0,1.6,2012
Amar'e Stoudemire,NYK,30,29,16,13,23.5,14.2,5.3,9.2,57.7,0.0,0.0,0.0,3.6,4.5,80.8,2.1,2.9,5.0,0.4,1.7,0.3,0.7,3.1,22.4,0,0,0.9,2012
Anderson Varejao,CLE,30,25,5,20,36.0,14.1,5.5,11.6,47.8,0.0,0.2,0.0,3.1,4.1,75.5,5.5,8.9,14.4,3.4,1.8,1.5,0.6,2.7,40.8,16,0,-3.0,2012
Marc Gasol,MEM,28,80,55,25,35.0,14.1,5.4,10.9,49.4,0.0,0.2,7.1,3.4,4.0,84.8,2.3,5.5,7.8,4.0,2.0,1.0,1.7,3.2,35.6,18,0,5.4,2012
Pau Gasol,LAL,32,49,27,22,33.8,13.7,5.5,11.8,46.6,0.2,0.6,28.6,2.6,3.6,70.2,2.3,6.3,8.6,4.1,2.1,0.5,1.2,1.9,33.2,15,2,2.0,2012
Anthony Davis,NOH,20,64,23,41,28.8,13.5,5.5,10.6,51.6,0.0,0.1,0.0,2.6,3.5,75.1,2.6,5.6,8.2,1.0,1.4,1.2,1.8,2.5,32.2,20,0,-2.4,2012
Serge Ibaka,OKC,23,80,58,22,31.1,13.2,5.6,9.7,57.3,0.3,0.7,35.1,1.8,2.4,74.9,2.8,4.9,7.7,0.5,1.6,0.4,3.0,2.7,31.8,15,0,6.1,2012
Nikola Vucevic,ORL,22,77,19,58,33.2,13.1,6.0,11.5,51.9,0.0,0.0,0.0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,1.8,0.8,1.0,2.8,33.8,46,0,-5.0,2012
JJ Hickson,POR,24,80,33,47,29.0,12.7,5.2,9.3,56.2,0.0,0.0,0.0,2.3,3.4,67.9,3.3,7.0,10.4,1.1,1.8,0.6,0.6,2.0,28.7,40,0,-3.3,2012
Andrea Bargnani,TOR,27,35,10,25,28.6,12.7,4.9,12.2,39.9,1.1,3.5,30.9,1.9,2.2,84.4,0.7,2.9,3.7,1.1,1.5,0.6,0.7,1.8,20.9,0,0,-3.2,2012
Nene,WAS,30,61,26,35,27.2,12.6,4.7,9.7,48.0,0.0,0.0,0.0,3.2,4.4,72.9,1.7,5.0,6.7,2.9,2.3,0.9,0.6,2.8,27.2,7,0,1.5,2012
Joakim Noah,CHI,28,66,36,30,36.8,11.9,4.6,9.5,48.1,0.0,0.1,0.0,2.7,3.6,75.1,3.9,7.2,11.1,4.0,2.7,1.2,2.1,2.8,38.4,33,2,0.9,2012
Roy Hibbert,IND,26,79,49,30,28.7,11.9,4.9,10.9,44.8,0.0,0.1,25.0,2.1,2.8,74.1,3.7,4.6,8.3,1.4,2.1,0.5,2.6,3.5,31.2,23,1,4.9,2012
Robin Lopez,NOH,25,82,27,55,26.0,11.3,4.7,8.8,53.4,0.0,0.0,0.0,2.0,2.5,77.8,2.8,2.9,5.6,0.8,1.3,0.4,1.6,2.0,23.8,9,0,-1.7,2012
Marcin Gortat,PHX,29,61,21,40,30.8,11.1,4.8,9.3,52.1,0.0,0.0,0.0,1.5,2.3,65.2,2.1,6.4,8.5,1.2,1.6,0.7,1.6,2.1,28.3,17,0,-3.3,2012
Spencer Hawes,PHI,25,82,34,48,27.2,11.0,4.6,9.9,46.4,0.4,1.1,35.6,1.5,1.9,77.7,2.1,5.1,7.2,2.2,1.6,0.3,1.4,2.8,26.4,19,0,-1.7,2012
Byron Mullens,CHA,24,53,13,40,26.9,10.6,4.1,10.6,38.5,1.2,3.9,31.7,1.2,1.9,64.6,1.3,5.0,6.4,1.5,1.4,0.6,0.6,2.1,22.9,8,0,-7.9,2012
Chris Kaman,DAL,31,66,31,35,20.7,10.5,4.7,9.3,50.7,0.0,0.0,0.0,1.0,1.3,78.8,1.5,4.2,5.6,0.8,1.6,0.4,0.8,2.1,20.5,3,0,-1.9,2012
Tyson Chandler,NYK,30,66,42,24,32.8,10.4,3.9,6.1,63.8,0.0,0.0,0.0,2.7,3.9,69.4,4.1,6.6,10.7,0.9,1.3,0.6,1.1,2.8,28.6,20,0,3.8,2012
Patrick Patterson,SAC,24,71,31,40,25.0,10.4,4.5,8.8,51.2,0.7,1.9,38.6,0.7,0.9,76.2,1.6,3.2,4.7,1.1,0.9,0.4,0.6,1.9,19.9,4,0,0.9,2012
Tiago Splitter,SAS,28,81,58,23,24.7,10.3,3.9,7.0,56.0,0.0,0.0,0.0,2.6,3.5,73.0,1.8,4.6,6.4,1.6,1.2,0.8,0.8,2.0,23.9,11,0,4.7,2012
Andray Blatche,BKN,26,82,49,33,19.0,10.3,4.2,8.2,51.2,0.0,0.3,13.6,1.8,2.6,68.5,2.0,3.1,5.1,1.0,1.5,1.0,0.7,2.0,21.6,7,0,-0.3,2012
Omer Asik,HOU,26,82,45,37,30.0,10.1,4.0,7.5,54.1,0.0,0.0,0.0,2.0,3.6,56.2,3.4,8.3,11.7,0.9,2.1,0.6,1.1,2.7,28.3,33,0,3.5,2012
Amir Johnson,TOR,26,81,34,47,28.7,10.0,4.1,7.5,55.4,0.1,0.2,38.5,1.7,2.3,72.7,2.8,4.7,7.5,1.5,1.4,1.0,1.4,3.7,27.0,15,0,2.6,2012
Larry Sanders,MIL,24,71,34,37,27.3,9.8,4.3,8.5,50.6,0.0,0.0,0.0,1.2,1.9,61.8,3.2,6.3,9.5,1.2,1.2,0.7,2.8,3.3,32.4,26,1,0.5,2012
Emeka Okafor,WAS,30,79,27,52,26.0,9.7,4.2,8.7,47.7,0.0,0.0,0.0,1.4,2.4,57.1,2.5,6.2,8.8,1.2,1.4,0.6,1.0,1.8,25.2,20,0,-0.6,2012
Derrick Favors,UTA,21,77,40,37,23.2,9.4,3.6,7.4,48.2,0.0,0.1,0.0,2.3,3.4,68.8,2.4,4.7,7.1,1.0,1.7,0.9,1.7,3.2,25.4,9,0,-0.1,2012
Kevin Seraphin,WAS,23,79,27,52,21.8,9.1,4.2,9.1,46.1,0.0,0.0,0.0,0.8,1.1,69.3,1.4,3.0,4.4,0.7,1.6,0.3,0.7,2.7,17.0,4,0,-2.8,2012
JaVale McGee,DEN,25,79,54,25,18.1,9.1,3.8,6.7,57.5,0.0,0.0,100,1.4,2.4,59.1,2.0,2.8,4.8,0.3,1.1,0.4,2.0,2.3,21.3,2,0,0.8,2012
Jonas Valanciunas,TOR,21,62,25,37,23.9,8.9,3.3,5.9,55.7,0.0,0.0,0.0,2.4,3.0,78.9,2.0,4.0,6.0,0.7,1.5,0.3,1.3,3.0,20.3,8,0,-2.0,2012
DeAndre Jordan,LAC,24,82,56,26,24.5,8.8,3.8,6.0,64.3,0.0,0.0,0.0,1.2,3.0,38.6,2.6,4.7,7.2,0.3,1.2,0.6,1.4,2.3,22.7,12,0,3.3,2012
Brandan Wright,DAL,25,64,33,31,17.9,8.5,3.8,6.3,59.7,0.0,0.0,0.0,0.9,1.5,61.5,1.3,2.7,4.1,0.6,0.5,0.4,1.2,1.2,18.5,1,0,1.6,2012
Marreese Speights,CLE,25,79,39,40,16.5,8.3,3.3,7.4,44.5,0.0,0.1,30.0,1.7,2.2,77.1,1.8,3.0,4.9,0.6,1.0,0.3,0.7,2.2,17.0,5,0,-1.9,2012
Jermaine O'Neal,PHX,34,55,17,38,18.7,8.3,3.3,6.7,48.2,0.0,0.0,0.0,1.7,2.1,83.5,1.5,3.8,5.3,0.8,1.3,0.3,1.4,2.3,19.8,5,0,-2.4,2012
Jason Smith,NOH,27,51,19,32,17.2,8.2,3.3,6.7,49.0,0.0,0.1,0.0,1.7,2.0,84.3,1.3,2.4,3.6,0.7,1.1,0.3,0.9,2.4,16.1,1,0,-1.4,2012
Kosta Koufos,DEN,24,81,57,24,22.4,8.0,3.6,6.3,58.1,0.0,0.0,0.0,0.7,1.3,55.8,2.6,4.3,6.9,0.4,0.7,0.5,1.3,3.0,21.7,6,0,3.7,2012
Andre Drummond,DET,19,60,23,37,20.7,7.9,3.5,5.7,60.8,0.0,0.0,50.0,1.0,2.7,37.1,2.8,4.8,7.6,0.5,1.0,1.0,1.6,2.4,24.6,9,0,-0.8,2012
Tyler Zeller,CLE,23,77,24,53,26.4,7.9,3.2,7.3,43.8,0.0,0.1,0.0,1.6,2.0,76.4,2.1,3.6,5.7,1.2,1.2,0.5,0.9,3.3,19.5,7,0,-3.4,2012
Enes Kanter,UTA,21,70,35,35,15.4,7.2,2.9,5.4,54.4,0.0,0.0,100,1.3,1.7,79.5,1.9,2.4,4.3,0.4,1.4,0.4,0.5,1.7,14.2,2,0,1.7,2012
Tyler Hansbrough,IND,27,81,49,32,16.9,7.0,2.2,5.0,43.2,0.0,0.0,0.0,2.7,3.7,72.0,2.0,2.6,4.6,0.4,1.0,0.4,0.2,1.9,14.0,6,0,-0.1,2012
Rasheed Wallace,NYK,38,21,16,5,14.1,7.0,2.6,6.8,38.7,1.0,3.3,31.9,0.7,1.0,70.0,0.5,3.4,4.0,0.3,0.5,0.6,0.7,1.9,15.6,0,0,0.3,2012
Jordan Hill,LAL,25,29,12,17,15.8,6.7,2.7,5.3,49.7,0.0,0.1,0.0,1.4,2.1,65.6,2.8,2.9,5.7,0.4,0.9,0.3,0.7,1.9,16.1,0,0,-1.1,2012
Samuel Dalembert,MIL,33,47,22,25,16.3,6.7,2.9,5.4,54.2,0.0,0.0,100,0.8,1.2,69.1,2.2,3.6,5.9,0.4,1.1,0.4,1.1,1.9,17.8,8,0,-2.3,2012
Greg Smith,HOU,22,70,41,29,15.9,6.0,2.4,3.9,62.0,0.0,0.0,0.0,1.2,1.9,62.3,1.6,3.0,4.6,0.4,0.6,0.3,0.6,2.5,14.0,2,0,1.7,2012
Zaza Pachulia,ATL,29,52,29,23,21.8,5.9,2.2,4.6,47.3,0.0,0.1,0.0,1.5,2.0,75.7,2.5,3.9,6.5,1.5,1.3,0.7,0.2,2.5,17.3,4,0,-0.5,2012
Andrew Bogut,GSW,28,32,19,13,24.6,5.8,2.6,5.8,45.1,0.0,0.0,100,0.6,1.2,50.0,2.1,5.5,7.7,2.1,1.1,0.6,1.7,2.7,24.1,1,0,1.2,2012
Boris Diaw,SAS,31,75,55,20,22.8,5.8,2.4,4.4,53.9,0.4,1.0,38.5,0.6,0.9,72.3,0.9,2.5,3.4,2.4,1.1,0.7,0.4,1.9,15.5,0,0,2.1,2012
Lavoy Allen,PHI,24,79,34,45,21.1,5.8,2.6,5.7,45.4,0.0,0.0,0.0,0.5,0.8,71.7,2.0,3.0,5.0,0.9,0.7,0.3,0.7,2.3,15.4,3,0,-1.3,2012
Donatas Motiejunas,HOU,22,44,27,17,12.2,5.7,2.2,4.8,45.5,0.5,1.9,28.9,0.7,1.2,62.7,0.8,1.3,2.1,0.7,0.8,0.2,0.2,1.7,9.6,0,0,0.9,2012
Meyers Leonard,POR,21,69,28,41,17.5,5.5,2.2,4.0,54.5,0.0,0.1,42.9,1.0,1.3,80.9,1.2,2.5,3.7,0.5,0.7,0.2,0.6,2.4,12.0,1,0,-2.2,2012
DeJuan Blair,SAS,24,61,44,17,14.0,5.4,2.3,4.4,52.4,0.0,0.0,0.0,0.7,1.1,62.9,1.1,2.7,3.8,0.7,0.8,0.6,0.2,1.8,12.5,1,0,-0.4,2012
Nick Collison,OKC,32,81,60,21,19.5,5.1,2.2,3.7,59.5,0.0,0.0,0.0,0.7,1.0,76.9,1.5,2.6,4.1,1.5,0.9,0.6,0.4,2.4,14.4,1,0,4.5,2012
Ian Mahinmi,IND,26,80,49,31,16.5,5.0,1.9,4.1,45.3,0.0,0.0,0.0,1.3,2.1,60.8,1.4,2.5,3.9,0.3,1.2,0.5,0.8,2.5,13.0,0,0,-1.7,2012
Chris Andersen,MIA,34,42,39,3,14.9,4.9,1.7,2.9,57.7,0.0,0.1,66.7,1.5,2.2,67.7,1.4,2.7,4.1,0.4,0.6,0.4,1.0,2.1,14.2,0,0,2.3,2012
Bismack Biyombo,CHA,20,80,20,60,27.3,4.8,2.0,4.3,45.1,0.0,0.0,0.0,0.9,1.8,52.1,2.4,4.9,7.3,0.4,1.0,0.4,1.8,2.4,19.6,7,0,-4.6,2012
Troy Murphy,DAL,33,14,6,8,18.3,4.6,1.6,4.4,36.1,0.8,2.5,31.4,0.7,0.8,90.9,0.5,3.0,3.5,0.5,0.5,0.7,0.4,2.1,12.5,0,0,-1.4,2012
Eddy Curry,DAL,30,2,1,1,12.4,4.5,2.0,4.0,50.0,0.0,0.0,0.0,0.5,2.0,25.0,1.0,1.0,2.0,0.0,1.5,0.0,0.0,3.5,5.4,0,0,3.0,2012
Ekpe Udoh,MIL,26,76,36,40,17.3,4.3,1.5,3.5,43.5,0.0,0.0,0.0,1.2,1.6,74.8,1.5,1.8,3.3,0.6,0.6,0.5,1.1,1.8,13.4,1,0,-0.7,2012
