PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,YEAR
Cody Zeller,CHA,27,58,18,40,23.1,11.1,4.3,8.3,52.4,0.3,1.3,24.0,2.1,3.1,68.2,2.8,4.3,7.1,1.5,1.3,0.7,0.4,2.4,23.9,10,0,-3.8,2019
Frank Kaminsky,PHX,27,32,12,20,22.4,11.0,4.0,8.7,45.5,1.2,3.5,34.8,1.8,2.8,67.0,0.9,4.0,4.9,2.2,1.0,0.4,0.3,2.2,21.4,1,0,-1.0,2019
Brook Lopez,MIL,32,61,50,11,26.6,11.0,4.0,9.4,42.7,1.4,4.7,29.6,1.6,2.0,81.0,0.7,3.8,4.5,1.6,1.0,0.7,2.4,2.4,27.1,3,0,7.8,2019
Steven Adams,OKC,26,58,37,21,27.0,10.9,4.5,7.6,59.1,0.0,0.1,33.3,1.9,3.2,59.0,3.4,6.0,9.4,2.4,1.5,0.9,1.1,1.9,30.3,21,0,2.5,2019
Jarrett Allen,BKN,21,64,30,34,25.7,10.6,4.2,6.5,64.6,0.0,0.1,0.0,2.3,3.7,62.0,3.0,6.4,9.5,1.3,1.1,0.6,1.3,2.3,28.6,26,0,0.5,2019
Larry Nance Jr.,CLE,27,56,16,40,26.3,10.1,4.1,7.7,53.1,1.0,2.8,35.2,0.9,1.3,67.6,1.9,5.4,7.3,2.2,1.1,1.0,0.4,1.6,25.2,12,0,-2.8,2019
Mitchell Robinson,NYK,22,61,20,41,23.2,9.7,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,3.0,4.0,7.0,0.6,0.6,0.9,2.0,3.2,26.8,8,0,-1.8,2019
Moritz Wagner,WAS,22,37,14,23,19.1,9.5,3.5,6.2,57.5,0.6,1.8,34.3,1.8,2.2,81.7,1.4,3.8,5.2,1.3,1.5,0.6,0.5,3.6,19.4,2,0,-1.0,2019
Dwight Powell,DAL,28,40,25,15,26.5,9.4,3.7,5.7,63.8,0.3,1.0,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1,0,4.9,2019
Daniel Theis,BOS,28,58,37,21,23.8,9.3,3.7,6.6,56.5,0.4,1.4,32.1,1.4,1.8,76.4,2.2,4.3,6.6,1.6,0.8,0.6,1.3,3.5,24.5,5,0,3.4,2019
Zach Collins,POR,22,3,2,1,28.8,9.0,3.0,6.3,47.4,1.0,2.3,42.9,2.0,2.0,100,1.3,2.7,4.0,2.0,2.0,0.0,0.7,3.7,16.8,0,0,6.3,2019
Naz Reid,MIN,20,30,8,22,16.5,9.0,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,0.7,2.8,19.0,2,0,0.2,2019
Alex Len,SAC,26,49,15,34,18.3,8.3,3.4,6.2,55.6,0.3,1.1,25.0,1.2,1.9,63.7,1.9,4.1,6.0,1.0,1.0,0.4,0.9,2.3,20.1,8,0,-2.2,2019
DeAndre Jordan,BKN,31,56,27,29,22.0,8.3,3.4,5.1,66.6,0.0,0.0,0.0,1.5,2.2,68.0,2.5,7.5,10.0,1.9,1.3,0.3,0.9,2.0,25.6,13,0,-0.7,2019
